Country,Topic,Month,MedianSentiment,IndicatorValue
NL,Inflation,2022-04,-2.1223788950257507,146.25
NL,Inflation,2022-05,-2.555077533198069,145.09333333333333
NL,Inflation,2022-06,-2.770780127050445,145.00666666666666
NL,Inflation,2022-07,-2.8650809139183924,148.15666666666667
NL,Inflation,2022-08,-1.140065146579805,151.64333333333335
NL,Inflation,2022-09,-1.258029560857595,155.95999999999998
NL,Inflation,2022-10,-1.11947788298129,158.03333333333333
NL,Inflation,2022-11,-1.791301918420562,151.87333333333333
NL,Inflation,2022-12,-6.40599001663894,152.87666666666667
NL,Inflation,2023-01,0.390625,149.97
NL,Inflation,2023-02,-3.86643233743409,151.97666666666666
NL,Inflation,2023-03,-1.7641856521330832,152.29666666666668
NL,Inflation,2023-05,2.0742095276565857,155.02333333333334
NL,Inflation,2023-06,-0.718214210512601,154.23333333333335
NL,Inflation,2023-07,-2.64314950026189,156.02666666666667
NL,Inflation,2023-08,-2.8133463035434505,156.8
NL,Inflation,2023-09,0.8590367965367944,155.4766666666667
NL,Inflation,2023-10,-1.86682634398858,156.38666666666668
NL,Inflation,2023-11,0.45345904496365,154.05666666666667
NL,Inflation,2023-12,-0.200931623770947,154.37
