Month,Country,Topic,AverageSentiment,ArticleVolume
2023-10,UK,Inflation,-2.02798491198648,15
2023-11,DE,Employment,-3.4096922958081817,4
2023-11,DE,Housing,-1.0947753262063604,4
2023-11,DE,Inflation,0.8018629622039308,7
2023-11,FR,Employment,-0.970873786407767,1
2023-11,FR,Housing,-2.134644249188292,4
2023-11,FR,Inflation,-0.5657320356386374,4
2023-11,NL,Inflation,0.45345904496365,5
2023-11,UK,Employment,-1.159404684298752,5
2023-11,UK,Housing,-0.246913580246914,1
2023-11,UK,Inflation,-0.41621188116878743,17
2023-12,DE,Employment,-1.941130042012466,4
2023-12,DE,Housing,-0.9172280761099812,9
2023-12,DE,Inflation,-0.21602583530247824,17
2023-12,FR,Housing,1.1693728586325052,2
2023-12,FR,Inflation,-0.8952185142241319,5
2023-12,NL,Inflation,-0.200931623770947,5
2023-12,UK,Employment,-2.82413350449294,1
2023-12,UK,Housing,2.97805642633229,1
2023-12,UK,Inflation,-1.4347956429648936,14
